Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
15197,Let's Play Flight Attendant,DS,2010.0,Simulation,Deep Silver,0.02,0.0,0.0,0.0,0.02
5292,Mini Ninjas,DS,2009.0,Action,Eidos Interactive,0.17,0.15,0.0,0.04,0.35
3119,SingStar Pop Hits,PS2,2007.0,Misc,Sony Computer Entertainment,0.0,0.5,0.0,0.15,0.65
13923,Super Army War,GBA,2005.0,Action,Flashpoint Games,0.03,0.01,0.0,0.0,0.04
7564,Rocket Power: Zero Gravity Zone,GBA,2003.0,Sports,THQ,0.14,0.05,0.0,0.0,0.2
6249,Dead Rising 2: Off the Record,X360,2011.0,Action,Capcom,0.17,0.09,0.0,0.02,0.28
1207,Command & Conquer: Tiberian Sun,PC,1999.0,Strategy,Westwood Studios,1.55,0.0,0.0,0.0,1.55
13250,Rock 'N Roll Racing,GBA,2003.0,Racing,Activision,0.03,0.01,0.0,0.0,0.05
2378,Gex,PS,1995.0,Platform,Crystal Dynamics,0.49,0.33,0.0,0.06,0.87
2171,PilotWings Resort,3DS,2011.0,Simulation,Nintendo,0.4,0.36,0.13,0.07,0.96
1175,Need for Speed: Most Wanted,X360,2012.0,Racing,Electronic Arts,0.62,0.8,0.01,0.15,1.58
8025,NARC,XB,2005.0,Shooter,Midway Games,0.14,0.04,0.0,0.01,0.18
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
3793,The Lord of the Rings: The Fellowship of the Ring,XB,2002.0,Action,Universal Interactive,0.31,0.19,0.0,0.03,0.53
8752,XGIII: Extreme G Racing,GC,2001.0,Racing,Acclaim Entertainment,0.12,0.03,0.0,0.0,0.15
5364,Skylanders: Trap Team,XOne,2014.0,Action,Activision,0.25,0.07,0.0,0.03,0.34
6307,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,2003.0,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27
4944,Skylanders Giants,WiiU,2012.0,Action,Activision,0.23,0.12,0.0,0.04,0.39
12012,Point Blank DS (JP sales),DS,2006.0,Shooter,Atari,0.0,0.0,0.07,0.0,0.07
5851,NASCAR 2011: The Game,X360,2011.0,Racing,Activision,0.29,0.0,0.0,0.02,0.3
12248,Hot Wheels: Burnin' Rubber,GBA,2001.0,Racing,THQ,0.05,0.02,0.0,0.0,0.06
12251,Chrysler Classic Racing,Wii,2008.0,Racing,Zoo Games,0.06,0.0,0.0,0.0,0.06
1385,Far Cry 2,PS3,2008.0,Action,Ubisoft,0.43,0.7,0.01,0.27,1.4
10891,Digimon World: Next Order,PSV,2016.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
14383,Doodle Hex,DS,2008.0,Puzzle,Pinnacle,0.0,0.03,0.0,0.0,0.03
966,Madden NFL 07,X360,2006.0,Sports,Electronic Arts,1.66,0.0,0.01,0.13,1.8
6199,Corvette,GBA,2003.0,Racing,TDK Mediactive,0.2,0.07,0.0,0.01,0.28
12279,Miami Vice: The Game,PSP,2006.0,Shooter,Activision,0.06,0.0,0.0,0.0,0.06
3606,Yu-Gi-Oh! Reshef of Destruction,GBA,2003.0,Strategy,Konami Digital Entertainment,0.4,0.15,0.0,0.01,0.56
12963,Air Conflicts: Aces of World War II,PSP,2009.0,Simulation,Graffiti,0.05,0.0,0.0,0.0,0.05
13822,Time Travelers,3DS,2012.0,Adventure,Unknown,0.0,0.0,0.04,0.0,0.04
2284,Colin McRae Rally 2.0,PS,2000.0,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91
5512,Hatsune Miku: Project Diva Extend,PSP,2011.0,Misc,Sega,0.0,0.0,0.33,0.0,0.33
14453,Kaidan Restaurant: Zoku! Shin Menu 100-Sen,DS,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
10456,Army Corps of Hell,PSV,2011.0,Action,Square Enix,0.05,0.04,0.0,0.02,0.1
16500,Snood 2: On Vacation,GBA,2005.0,Puzzle,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.01
7166,Hatsune Miku: Project Mirai 2,3DS,2013.0,Action,Sega,0.0,0.0,0.22,0.0,0.22
13397,Cabela's Trophy Bucks,X360,2007.0,Sports,Activision Value,0.04,0.0,0.0,0.0,0.05
13177,Virtua Tennis 3,X360,2007.0,Sports,Sega,0.03,0.02,0.0,0.0,0.05
13594,Battle Rage,Wii,2008.0,Shooter,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04
11279,Pachitte Chonmage Tatsujin 13: Pachinko Hissatsu Shigotojin III,PS2,2007.0,Misc,Hackberry,0.0,0.0,0.08,0.0,0.08
12532,Power Pro Success Legends,PSP,2010.0,Sports,Konami Digital Entertainment,0.0,0.0,0.06,0.0,0.06
2020,NCAA March Madness 2004,PS2,2003.0,Sports,Electronic Arts,0.5,0.39,0.0,0.13,1.03
1648,Max Payne,XB,2001.0,Shooter,Take-Two Interactive,0.98,0.19,0.0,0.05,1.22
899,Red Faction,PS2,2001.0,Shooter,THQ,0.76,0.96,0.0,0.2,1.92
127,The Elder Scrolls V: Skyrim,PS3,2011.0,Role-Playing,Bethesda Softworks,2.55,2.71,0.25,1.05,6.56
12184,Transformer: Rise of the Dark Spark,WiiU,2014.0,Action,Activision,0.05,0.01,0.0,0.01,0.07
5563,LEGO The Lord of the Rings,PSV,2012.0,Action,Warner Bros. Interactive Entertainment,0.1,0.15,0.0,0.07,0.33
10444,Pariah,XB,2005.0,Action,Hip Interactive,0.08,0.02,0.0,0.0,0.1
6620,Tearaway Unfolded,PS4,2015.0,Platform,Sony Computer Entertainment,0.09,0.12,0.0,0.04,0.25
5602,NBA Street V3,XB,2005.0,Sports,Electronic Arts,0.28,0.03,0.0,0.01,0.32
8022,Driving Emotion Type-S,PS2,2000.0,Racing,Electronic Arts,0.04,0.03,0.11,0.01,0.18
7287,J-League Winning Eleven 2008: Club Championship,PS2,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.22,0.0,0.22
12891,Rockin' Pretty,DS,2009.0,Misc,Arc System Works,0.05,0.0,0.0,0.0,0.05
15349,Code R,SAT,1998.0,Adventure,Quintet,0.0,0.0,0.02,0.0,0.02
562,Yokai Watch 2 Shinuchi,3DS,2014.0,Role-Playing,Level 5,0.0,0.0,2.68,0.0,2.68
5568,Discovery Kids: Puppy Playtime,DS,2009.0,Simulation,505 Games,0.3,0.0,0.0,0.02,0.33
626,NBA 2K14,X360,2013.0,Sports,Take-Two Interactive,2.1,0.2,0.0,0.17,2.47
11116,Crayon Shin-Chan Shokkugan! Densetsu o Yobu Omake Daiketsusen!!,DS,2010.0,Action,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
12626,Tron 2.0: Killer App,XB,2004.0,Action,Disney Interactive Studios,0.04,0.01,0.0,0.0,0.06
14909,Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,2012.0,Adventure,ChunSoft,0.0,0.0,0.03,0.0,0.03
2360,Peppa Pig: The Game,DS,2008.0,Misc,Pinnacle,0.0,0.82,0.0,0.06,0.88
14343,Exstetra,PSV,2013.0,Role-Playing,FuRyu,0.0,0.0,0.03,0.0,0.03
12365,The Legend of Heroes: Trails in the Sky Second Chapter,PSP,2007.0,Role-Playing,Falcom Corporation,0.0,0.0,0.06,0.0,0.06
1826,Disney Infinity 2.0: Marvel Super Heroes,X360,2014.0,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1,1.12
1394,Deus Ex: Human Revolution,PS3,2011.0,Shooter,Square Enix,0.5,0.6,0.07,0.23,1.39
4962,Super Famista 3,SNES,1994.0,Sports,Namco Bandai Games,0.0,0.0,0.39,0.0,0.39
12541,Toriko: Gourmet Battle!,3DS,2013.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
16362,NHL 2K7,XB,2006.0,Sports,Take-Two Interactive,0.01,0.0,0.0,0.0,0.01
9397,Castrol Honda Superbike Racing,PS,1998.0,Racing,THQ,0.07,0.05,0.0,0.01,0.13
15365,F1 2002,GBA,2002.0,Racing,"Destination Software, Inc",0.01,0.01,0.0,0.0,0.02
12545,Commandos: Strike Force,PS2,2006.0,Shooter,Eidos Interactive,0.03,0.02,0.0,0.01,0.06
4150,Alien Trilogy,PS,1996.0,Shooter,Acclaim Entertainment,0.24,0.16,0.04,0.03,0.47
14551,MapleStory DS,DS,2010.0,Role-Playing,Nexon,0.0,0.0,0.03,0.0,0.03
13093,Marriage Royale: Prism Story,PSP,2010.0,Adventure,ASCII Media Works,0.0,0.0,0.05,0.0,0.05
5986,Ben 10 Alien Force: Vilgax Attacks,PS2,2009.0,Action,D3Publisher,0.11,0.03,0.0,0.15,0.29
13803,Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,DS,2007.0,Misc,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04
11480,Wetrix,N64,1998.0,Puzzle,Ocean,0.06,0.02,0.0,0.0,0.08
11555,Tomb Raider: Legend,GC,2006.0,Action,Eidos Interactive,0.06,0.02,0.0,0.0,0.08
2362,Ghostbusters: The Video Game,Wii,2009.0,Action,Atari,0.6,0.21,0.0,0.08,0.88
12429,DreamWorks Super Star Kartz,X360,2011.0,Racing,Activision,0.05,0.01,0.0,0.0,0.06
11080,Tornado Outbreak,PS3,2009.0,Action,Konami Digital Entertainment,0.08,0.0,0.0,0.01,0.09
7021,Skylanders: SuperChargers,XOne,2015.0,Action,Activision,0.16,0.05,0.0,0.02,0.23
12119,Just Dance: Disney Party 2,XOne,2015.0,Action,Ubisoft,0.05,0.01,0.0,0.01,0.07
13666,Farm Frenzy 3,PC,2009.0,Strategy,Alawar Entertainment,0.0,0.03,0.0,0.01,0.04
1433,Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,0.82,0.42,0.0,0.11,1.36
8717,Mat Hoffman's Pro BMX 2,GBA,2002.0,Sports,Activision,0.11,0.04,0.0,0.0,0.16
4253,SingStar Amped,PS2,2007.0,Misc,Sony Computer Entertainment,0.23,0.18,0.0,0.06,0.46
10543,Hot Wheels Ultimate Racing,PSP,2007.0,Action,Activision,0.09,0.0,0.0,0.01,0.1
4517,Sleeping Dogs,PS4,2014.0,Action,Square Enix,0.16,0.2,0.0,0.07,0.43
13066,The Idolmaster: Gravure For You! Vol. 2,PS3,2011.0,Misc,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
8614,Shinobido 2: Tales of the Ninja,PSV,2011.0,Action,Sony Computer Entertainment,0.06,0.05,0.02,0.03,0.16
10483,Etrian Odyssey II: Heroes of Lagaard,3DS,2014.0,Role-Playing,Atlus,0.0,0.0,0.1,0.0,0.1
11947,Loons: The Fight For Fame,XB,2002.0,Action,Atari,0.05,0.02,0.0,0.0,0.07
270,FIFA Soccer 06,PS2,2005.0,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21
12768,Ski Region Simulator,PC,2011.0,Simulation,Excalibur Publishing,0.0,0.05,0.0,0.01,0.06
6488,The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002.0,Action,THQ,0.19,0.07,0.0,0.0,0.26
1047,Need for Speed Underground,XB,2003.0,Racing,Electronic Arts,1.09,0.55,0.0,0.07,1.71
5934,Mega Man ZX,DS,2006.0,Platform,Capcom,0.18,0.0,0.1,0.02,0.3
4129,Nickelodeon Team Umizoomi,DS,2011.0,Action,Take-Two Interactive,0.45,0.0,0.0,0.03,0.48
781,PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,Konami Digital Entertainment,0.11,1.34,0.4,0.26,2.11
3087,Disney's Kim Possible 2: Drakken's Demise,GBA,2004.0,Platform,Disney Interactive Studios,0.47,0.17,0.0,0.01,0.66
6795,Corpse Party: Blood Drive,PSV,2014.0,Adventure,Marvelous Interactive,0.11,0.03,0.06,0.05,0.24
1686,WWE 2K14,PS3,2013.0,Sports,Take-Two Interactive,0.49,0.49,0.0,0.21,1.19
12321,F1 2001,XB,2001.0,Racing,Electronic Arts,0.05,0.01,0.0,0.0,0.06
1796,Super R.C. Pro-Am,GB,1991.0,Racing,Nintendo,0.58,0.37,0.15,0.04,1.14
9686,Godzilla Unleashed: Double Smash,DS,2007.0,Action,Atari,0.11,0.0,0.0,0.01,0.12
6139,Chromehounds,X360,2006.0,Simulation,Sega,0.24,0.0,0.01,0.02,0.28
13194,Around the World in 80 Days,GBA,2004.0,Action,Hip Interactive,0.03,0.01,0.0,0.0,0.05
10692,Happy Feet Two,X360,,Action,Warner Bros. Interactive Entertainment,0.08,0.01,0.0,0.01,0.1
9259,Daytona USA Championship Circuit Edition,SAT,1995.0,Racing,Sega,0.0,0.0,0.14,0.0,0.14
12855,Miracle Girls Festival,PSV,2015.0,Misc,Sega,0.0,0.0,0.05,0.0,0.05
9949,Hanagumi Taisen Columns,SAT,1997.0,Puzzle,Sega,0.0,0.0,0.12,0.0,0.12
5770,Harvest Moon: Magical Melody,Wii,2008.0,Simulation,Rising Star Games,0.25,0.04,0.0,0.03,0.31
12617,Brave: A Warrior's Tale,Wii,2009.0,Action,SouthPeak Games,0.05,0.0,0.0,0.0,0.06
2629,Professor Layton and the Azran Legacy,3DS,2013.0,Puzzle,Nintendo,0.0,0.48,0.25,0.06,0.78
11135,Hyperdimension Neptunia Re;Birth 2,PSV,2014.0,Action,Idea Factory International,0.05,0.02,0.0,0.02,0.09
6691,F1 Pole Position 64,N64,1997.0,Racing,Ubisoft,0.11,0.13,0.0,0.01,0.25
6535,Tony Hawk: Shred,X360,2010.0,Sports,Activision,0.17,0.07,0.0,0.02,0.26
6436,Atelier Ayesha: The Alchemist of Dusk,PS3,2012.0,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.27
2974,Plants vs. Zombies: Garden Warfare,XOne,2014.0,Shooter,Electronic Arts,0.39,0.23,0.0,0.06,0.68
11067,Super Robot Wars OG: The Moon Dwellers,PS4,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.09,0.0,0.09
1975,Tag Team Match M.U.S.C.L.E.,NES,1985.0,Fighting,Namco Bandai Games,0.0,0.0,1.05,0.0,1.05
12893,Samurai Warriors 4-II,PSV,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
2861,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,Role-Playing,Square Enix,0.18,0.01,0.5,0.02,0.71
4832,18 Wheeler: American Pro Trucker,PS2,2001.0,Racing,Acclaim Entertainment,0.2,0.15,0.0,0.05,0.4
9846,Slayers,SNES,1994.0,Role-Playing,Banpresto,0.0,0.0,0.12,0.0,0.12
4288,Scooby-Doo! and the Spooky Swamp,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.29,0.13,0.0,0.04,0.46
1983,WWE SmackDown vs. Raw 2010,X360,2009.0,Fighting,THQ,0.56,0.38,0.01,0.11,1.05
4734,The LEGO Movie Videogame,PSV,2014.0,Action,Warner Bros. Interactive Entertainment,0.05,0.26,0.0,0.09,0.41
5002,NFL GameDay 2002,PS2,2001.0,Sports,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.38
15254,Painkiller,PC,2004.0,Shooter,DreamCatcher Interactive,0.0,0.02,0.0,0.0,0.02
2504,Casper,PS,1996.0,Adventure,Interplay,0.46,0.31,0.0,0.05,0.83
1641,Parfait: Chocolat Second Style,PS2,2006.0,Adventure,Alchemist,0.59,0.46,0.01,0.15,1.22
7550,State of Decay,XOne,2015.0,Strategy,Microsoft Game Studios,0.14,0.05,0.0,0.02,0.2
13037,Ontamarama,DS,2007.0,Action,Atlus,0.05,0.0,0.0,0.0,0.05
5606,Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010.0,Platform,D3Publisher,0.22,0.08,0.0,0.03,0.32
13971,Garfield: The Search for Pooky,GBA,2003.0,Platform,Game Factory,0.03,0.01,0.0,0.0,0.04
5261,J-League Pro Soccer Club o Tsukurou!,DC,1999.0,Sports,Sega,0.0,0.0,0.36,0.0,0.36
4376,Band Hero,DS,2009.0,Misc,Activision,0.21,0.19,0.0,0.05,0.45
15807,Call of Duty: Modern Warfare Trilogy,X360,2016.0,Shooter,Activision,0.01,0.01,0.0,0.0,0.02
7948,Star Trek: Legacy,X360,,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19
15188,Shippuu Mahou Daisakusen: Kingdom-Grandprix,SAT,1996.0,Shooter,Gaga,0.0,0.0,0.02,0.0,0.02
15875,Dead to Rights,GBA,2004.0,Shooter,Zoo Digital Publishing,0.01,0.0,0.0,0.0,0.02
6295,Hatsune Miku: Project Diva f,PS3,2013.0,Misc,Sega,0.08,0.0,0.19,0.01,0.27
13844,Zatch Bell! Mamodo Fury,GC,2005.0,Fighting,Namco Bandai Games,0.03,0.01,0.0,0.0,0.04
9344,NHL 2K8,X360,2007.0,Sports,Take-Two Interactive,0.11,0.01,0.0,0.01,0.13
9872,Fit in Six,Wii,2011.0,Sports,Ubisoft,0.11,0.0,0.0,0.01,0.12
15358,Onechanbara Special,PSP,2011.0,Action,D3Publisher,0.0,0.0,0.02,0.0,0.02
797,Wipeout: The Game,Wii,2009.0,Misc,Mindscape,1.97,0.0,0.0,0.12,2.09
14542,SD Gundam: Gashapon Wars,Wii,2010.0,Strategy,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
16332,Element Hunter,DS,2009.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01
15849,Psychedelica of the Black Butterfly,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.02,0.0,0.02
9121,Dead to Rights,GC,2002.0,Shooter,Electronic Arts,0.11,0.03,0.0,0.0,0.14
9691,Obscure: The Aftermath,Wii,2008.0,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.12
14284,Guitar Hero: World Tour,PC,2009.0,Misc,Aspyr,0.0,0.03,0.0,0.01,0.03
9391,James Bond 007: Legends,WiiU,2012.0,Shooter,Activision,0.07,0.05,0.0,0.01,0.13
10752,Disney Sing It! High School Musical 3: Senior Year,X360,2009.0,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01,0.1
743,Saints Row,X360,2006.0,Action,THQ,1.17,0.78,0.02,0.22,2.19
12246,Jewel Quest IV: Heritage,DS,2011.0,Puzzle,iWin,0.0,0.05,0.0,0.01,0.06
11184,Jimmy Neutron: Boy Genius,GC,2002.0,Platform,THQ,0.07,0.02,0.0,0.0,0.09
3746,Over the Hedge,PS2,2006.0,Platform,Activision,0.45,0.02,0.0,0.07,0.54
13432,Avatar: The Game,PC,2009.0,Action,Ubisoft,0.0,0.04,0.0,0.01,0.05
4194,The Sims 3: Ambitions,PC,2010.0,Simulation,Electronic Arts,0.0,0.29,0.0,0.18,0.47
14380,Fullmetal Alchemist: Brotherhood,PSP,,Action,Unknown,0.0,0.0,0.03,0.0,0.03
5391,Fantastic Voyage,2600,1981.0,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34
15666,Wizardry Twin Pack,PS3,2011.0,Role-Playing,Acquire,0.0,0.0,0.02,0.0,0.02
1213,Dark Cloud,PS2,2000.0,Role-Playing,Sony Computer Entertainment,0.83,0.44,0.08,0.19,1.54
10216,Lunacy,SAT,1996.0,Adventure,Sega,0.0,0.0,0.11,0.0,0.11
11147,MLB 2K9 Fantasy All-Stars,DS,2009.0,Sports,Take-Two Interactive,0.08,0.0,0.0,0.01,0.09
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
9608,Black Dawn,PS,1996.0,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13
5006,Mobile Suit Gundam: Giren no Yabou Zeon Dokuritsu Sensouden,PS2,2002.0,Strategy,Namco Bandai Games,0.0,0.0,0.38,0.0,0.38
6901,Hello Kitty Seasons,Wii,2010.0,Adventure,Namco Bandai Games,0.16,0.06,0.0,0.02,0.24
15106,Blade Arcus from Shining EX,PS3,2015.0,Fighting,Sega,0.0,0.0,0.02,0.0,0.02
2684,Donkey Kong Country 3,GBA,2005.0,Platform,Nintendo,0.45,0.17,0.14,0.01,0.77
4259,The Legend of Spyro: Dawn of the Dragon,PS3,2008.0,Platform,Vivendi Games,0.19,0.19,0.0,0.08,0.46
15694,Prince of Stride,PSV,2015.0,Adventure,Kadokawa Games,0.0,0.0,0.02,0.0,0.02
6261,Deadpool,PS4,2015.0,Action,Activision,0.13,0.1,0.0,0.05,0.28
10427,Princess Debut,DS,2008.0,Misc,Cave,0.1,0.0,0.0,0.01,0.1
1756,Test Drive: Off Road,PS,1997.0,Racing,Eidos Interactive,0.65,0.44,0.0,0.08,1.16
6926,Fallout 3 Game Add-On Pack: Broken Steel and Point Lookout,X360,2009.0,Role-Playing,Bethesda Softworks,0.16,0.06,0.0,0.02,0.24
706,TOCA Touring Car Championship,PS,1997.0,Racing,Codemasters,0.07,2.0,0.02,0.18,2.28
9975,Yattaman DS: BikkuriDokkiri Daisakusen da Koron,DS,2008.0,Action,Takara Tomy,0.0,0.0,0.12,0.0,0.12
